Fixed Station,Cruise,ODF File
BCD1999668,NED99041,CTD_99041_801_219399_DN.ODF
BCD2000666,HUD2000050,CTD_HUD2000050_343_1_DN.ODF
BCD2000668,NED2000045,CTD_NED2000045_800_210981_DN.ODF
BCD2002666,HUD2002054,CTD_HUD2002054_268_1_DN.ODF
BCD2002666,NED2002037,CTD_NED2002037_000_258001_DN.ODF
BCD2002666,NED2002037,CTD_NED2002037_125_258461_DN.ODF
BCD2002666,NED2002040,CTD_NED2002040_100_258843_DN.ODF
BCD2002666,NED2002051,CTD_NED2002051_204_245209_DN.ODF
BCD2002668,NED2002051,CTD_NED2002051_117_256393_DN.ODF
BCD2003666,MAT2003014,CTD_MAT2003014_001_01_DN.ODF
BCD2003666,HUD2003067,d067a001.odf
BCD2003668,TEM2003052,CTD_TEM2003052_66_263390_DN.ODF
BCD2004668,TEL2004534,CTD_TEL2004534_668_271946_DN.ODF
BCD2005668,TEL2005607,CTD_TEL2005607_668_287415_DN.ODF
BCD2006666,MAT2006059,CTD_MAT2006059_Mooringsite_001_DN.ODF
BCD2006668,TEL2006678,CTD_TEL2006678_127_304156_DN.ODF
BCD2007668,TEL2007749,CTD_TEL2007749_668_307546_DN.ODF
BCD2008668,TEL2008815,CTD_TEL2008815_668_321877_DN.ODF
BCD2010666,HUD2010006,D006A008.ODF
